Gold	acl:relcl	advcl	advmod	amod	appos	aux	case	cc	ccomp	conj	cop	det	discourse	expl	fixed	goeswith	iobj	mark	nmod	nmod:poss	nsubj	nummod	obj	obl	parataxis	punct	root	vocative	xcomp
acl	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acl:relcl	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	3	0	0
advcl	0	54	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	6	0	0
advcl:relcl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
advmod	1	1	327	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
amod	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
appos	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
aux	0	0	0	0	0	63	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
case	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
cc	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ccomp	0	3	3	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	9	0	4	0	2
conj	0	1	0	0	0	0	0	0	0	14	0	1	1	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0
cop	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csubj	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
discourse	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dislocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
fixed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
goeswith	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	4	0	0	0	0	0
mark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0
nmod	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0
nmod:poss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	4	0	6	0	0	0	0	0	0
nsubj	0	0	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	0	0	5	226	0	18	0	0	0	3	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0
obj	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	15	0	148	1	0	0	0	0	0
obl	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	4	119	0	0	0	0	0
parataxis	0	0	3	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	59	0	1	0	4
punct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0
reparandum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
root	0	3	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	13	0	257	1	0
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	8	0
xcomp	0	2	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	5	0	1	0	11
