Gold	acl	acl:relcl	advcl	advcl:relcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nmod:poss	nsubj	nummod	obj	obl	orphan	parataxis	punct	reparandum	root	vocative	xcomp
acl	3	0	7	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	5	0	2
acl:relcl	0	251	7	0	2	0	0	1	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	5	10	0	24	0	0	23	0	1
advcl	0	2	424	0	7	2	0	0	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	4	0	45	0	0	57	0	6
advcl:relcl	0	8	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	4	0	0	6	0	0
advmod	0	2	1	0	3336	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	12	0	0
amod	0	0	2	0	0	144	0	0	0	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	15	0	1
appos	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	2	14	0	4	0	0	5	0	0	1	3	0
aux	0	0	0	0	0	0	0	581	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
case	0	0	0	0	1	0	0	0	1764	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
cc	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ccomp	0	6	12	0	19	1	0	1	0	0	253	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	15	9	0	55	0	0	22	0	18
compound	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conj	0	6	8	0	1	1	1	0	0	0	3	0	127	0	0	0	2	2	0	0	0	0	0	0	0	0	2	21	0	13	15	0	43	0	0	6	0	1
cop	0	0	0	0	0	0	0	29	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csubj	0	0	3	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	3	0	1
