Gold	acl	acl:relcl	advcl	advcl:relcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nmod:poss	nsubj	nummod	obj	obl	orphan	parataxis	punct	reparandum	root	vocative	xcomp
acl	0.12	0.0	0.28	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.12	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.2	0.0	0.08
acl:relcl	0.0	0.7317784256559767	0.02040816326530612	0.0	0.0058309037900874635	0.0	0.0	0.0029154518950437317	0.0	0.0	0.026239067055393587	0.0	0.011661807580174927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058309037900874635	0.011661807580174927	0.0	0.014577259475218658	0.029154518950437316	0.0	0.06997084548104957	0.0	0.0	0.06705539358600583	0.0	0.0029154518950437317
advcl	0.0	0.0034542314335060447	0.7322970639032815	0.0	0.012089810017271158	0.0034542314335060447	0.0	0.0	0.0	0.0	0.02936096718480138	0.0	0.0034542314335060447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012089810017271158	0.0	0.010362694300518135	0.0069084628670120895	0.0	0.07772020725388601	0.0	0.0	0.09844559585492228	0.0	0.010362694300518135
advcl:relcl	0.0	0.2962962962962963	0.037037037037037035	0.07407407407407407	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.037037037037037035	0.0	0.14814814814814814	0.0	0.0	0.2222222222222222	0.0	0.0
advmod	0.0	0.0005950609937518596	0.0002975304968759298	0.0	0.9925617375781017	0.0002975304968759298	0.0	0.0	0.0	0.0	0.0008925914906277894	0.0	0.0002975304968759298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002975304968759298	0.0	0.0	0.0	0.0005950609937518596	0.0	0.0005950609937518596	0.0	0.0	0.0035703659625111574	0.0	0.0
amod	0.0	0.0	0.011560693641618497	0.0	0.0	0.8323699421965318	0.0	0.0	0.0	0.0	0.028901734104046242	0.0	0.011560693641618497	0.0	0.0	0.0	0.005780346820809248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017341040462427744	0.0	0.0	0.08670520231213873	0.0	0.005780346820809248
appos	0.0	0.0	0.0	0.0	0.0	0.0	0.0975609756097561	0.0	0.0	0.0	0.0	0.0	0.14634146341463414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.024390243902439025	0.04878048780487805	0.34146341463414637	0.0	0.0975609756097561	0.0	0.0	0.12195121951219512	0.0	0.0	0.024390243902439025	0.07317073170731707	0.0
aux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9914675767918089	0.0	0.0	0.0	0.0	0.0	0.008532423208191127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
case	0.0	0.0	0.0	0.0	0.0005652911249293386	0.0	0.0	0.0	0.9971735443753533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005652911249293386	0.0	0.0	0.0	0.0005652911249293386	0.0	0.0005652911249293386	0.0	0.0	0.0	0.0005652911249293386	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9838709677419355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008064516129032258	0.008064516129032258	0.0	0.0	0.0	0.0
