pair	gold_file	pred_file	sent_id	token_id	form	gold_head	pred_head	gold_deprel	pred_deprel
single	test-6.conllu	test-6.out.conllu	MooreFP1994:0:0:16	3	manha	1	1	iobj	obj
single	test-6.conllu	test-6.out.conllu	MooreFP1994:0:0:16	4	upitá	1	1	ccomp	advcl
single	test-6.conllu	test-6.out.conllu	MooreFP1994:0:0:16	10	ratiwa	11	4	nsubj	obj
single	test-6.conllu	test-6.out.conllu	MooreFP1994:0:0:27	4	mbira-itá	5	1	nsubj	obj
single	test-6.conllu	test-6.out.conllu	MooreFP1994:1:2:29	2	akayú	3	6	reparandum	obj
single	test-6.conllu	test-6.out.conllu	Alencar2021:0:0:46	1	Igara	2	3	nmod:poss	nsubj
single	test-6.conllu	test-6.out.conllu	Alencar2021:0:0:46	2	paranã	3	3	nsubj	nmod:poss
single	test-6.conllu	test-6.out.conllu	Navarro2016:1:7:7	1	Puranga	2	0	amod	root
single	test-6.conllu	test-6.out.conllu	Navarro2016:1:7:7	2	pituna	0	1	root	nsubj
single	test-6.conllu	test-6.out.conllu	Navarro2016:1:13:13	1	Puranga	2	0	amod	root
single	test-6.conllu	test-6.out.conllu	Navarro2016:1:13:13	2	karuka	0	1	root	nsubj
single	test-6.conllu	test-6.out.conllu	Navarro2016:0:0:89	1	Uka-itá	2	0	nsubj	root
single	test-6.conllu	test-6.out.conllu	Navarro2016:0:0:89	2	mirĩ	0	1	root	amod
single	test-6.conllu	test-6.out.conllu	Navarro2016:3:5:94	6	mimbira	2	2	iobj	obl
single	test-6.conllu	test-6.out.conllu	Navarro2016:4:9:176	4	suka	3	2	nmod	obl
single	test-6.conllu	test-6.out.conllu	Navarro2016:4:9:176	6	sukwera	8	2	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Navarro2016:4:9:176	7	waá	6	8	nmod:poss	nsubj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:19	7	urikú	5	2	acl:relcl	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:19	11	usikari	10	7	acl	advcl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:19	13	ukwá	11	11	xcomp	conj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:95	12	apinaitika	10	10	xcomp	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:103	5	iké	8	8	advcl	advmod
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:133	16	aintá	15	14	nmod	obl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:143	12	anama	9	9	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:161	5	uyenú	3	0	advcl:relcl	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:161	8	usendú	0	5	root	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:186	6	umusarái	10	0	advcl	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:186	10	remutatatinga	0	6	root	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:186	16	itá	14	14	xcomp	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:213	16	waá-itá	15	15	nsubj	obj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:213	26	puranga	23	23	ccomp	advcl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:238	7	rasusara	3	1	appos	parataxis
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:244	3	apigá	5	5	advcl	nsubj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:244	5	uwatá	0	11	root	advcl
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:244	9	até	10	11	case	mark
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:244	11	umpuruã	10	0	advcl:relcl	root
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:285	3	yakaré	2	4	obj	nsubj
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:312	5	uwiyé	2	2	ccomp	xcomp
single	test-6.conllu	test-6.out.conllu	Avila2021:0:0:312	13	uyapukúi	10	10	parataxis	xcomp
