relation	support	head_accuracy	label_accuracy	las	attachment_only_errors	label_only_errors	both_errors
punct	533	0.8442776735459663	1.0	0.8442776735459663	83	0	0
advmod	332	0.8975903614457831	0.9849397590361446	0.8885542168674698	32	3	2
root	283	0.9081272084805654	0.9081272084805654	0.9081272084805654	0	0	26
nsubj	259	0.8648648648648649	0.8725868725868726	0.8108108108108109	16	14	19
obj	170	0.8823529411764706	0.8705882352941177	0.8588235294117647	2	4	18
case	162	0.9691358024691358	0.9938271604938271	0.9691358024691358	4	0	1
nmod:poss	148	0.918918918918919	0.9324324324324325	0.918918918918919	2	0	10
obl	128	0.921875	0.9296875	0.875	7	6	3
mark	79	0.9113924050632911	1.0	0.9113924050632911	7	0	0
parataxis	75	0.8133333333333334	0.7866666666666666	0.68	8	10	6
det	71	0.9154929577464789	1.0	0.9154929577464789	6	0	0
advcl	70	0.7428571428571429	0.7714285714285715	0.6571428571428571	8	6	10
aux	64	0.984375	0.984375	0.984375	0	0	1
ccomp	47	0.723404255319149	0.44680851063829785	0.44680851063829785	0	13	13
acl:relcl	33	0.45454545454545453	0.7575757575757576	0.45454545454545453	10	0	8
xcomp	28	0.8928571428571429	0.39285714285714285	0.35714285714285715	1	15	2
conj	25	0.48	0.56	0.24	8	6	5
iobj	24	0.9583333333333334	0.7916666666666666	0.7916666666666666	0	4	1
amod	19	0.7368421052631579	0.7894736842105263	0.7368421052631579	1	0	4
vocative	15	0.6666666666666666	0.5333333333333333	0.4	2	4	3
cop	11	0.6363636363636364	0.8181818181818182	0.5454545454545454	3	1	1
cc	11	0.9090909090909091	1.0	0.9090909090909091	1	0	0
expl	10	1.0	0.8	0.8	0	2	0
nmod	9	0.1111111111111111	0.1111111111111111	0.1111111111111111	0	0	8
nummod	8	0.875	0.875	0.875	0	0	1
fixed	6	0.8333333333333334	0.8333333333333334	0.8333333333333334	0	0	1
acl	3	0.0	0.0	0.0	0	0	3
advcl:relcl	3	0.0	0.0	0.0	0	0	3
appos	3	0.3333333333333333	0.0	0.0	0	1	2
dislocated	3	1.0	0.0	0.0	0	3	0
csubj	1	0.0	0.0	0.0	0	0	1
reparandum	1	0.0	0.0	0.0	0	0	1
discourse	1	1.0	1.0	1.0	0	0	0
goeswith	1	1.0	1.0	1.0	0	0	0
