relation	support	head_accuracy	label_accuracy	las	attachment_only_errors	label_only_errors	both_errors
punct	5378	0.8570100409074005	0.9998140572703608	0.8570100409074005	768	0	1
advmod	3361	0.9027075275215709	0.9925617375781017	0.9003272835465636	310	8	17
root	2834	0.9170783345095271	0.9170783345095271	0.9170783345095271	0	0	235
nsubj	2657	0.8870907038012796	0.8746706812194204	0.8234851336093338	136	169	164
case	1769	0.9790842283776144	0.9971735443753533	0.9779536461277558	34	2	3
obj	1586	0.8997477931904161	0.8505674653215637	0.8366960907944514	22	100	137
nmod:poss	1539	0.9538661468486029	0.9506172839506173	0.9454191033138402	8	13	63
obl	1534	0.9289439374185137	0.9002607561929595	0.8572359843546284	66	110	43
parataxis	857	0.7969661610268378	0.823803967327888	0.7117852975495916	96	73	78
det	823	0.9210206561360875	0.9732685297691372	0.9125151883353585	50	7	15
mark	615	0.9317073170731708	0.9869918699186991	0.9219512195121952	40	6	2
aux	586	0.9795221843003413	0.9914675767918089	0.9761092150170648	9	2	3
advcl	579	0.7633851468048359	0.7322970639032815	0.6580310880829016	43	61	94
ccomp	422	0.8293838862559242	0.5995260663507109	0.5924170616113744	3	100	69
acl:relcl	343	0.6180758017492711	0.7317784256559767	0.6122448979591837	41	2	90
conj	252	0.44841269841269843	0.503968253968254	0.3055555555555556	50	36	89
iobj	216	0.9537037037037037	0.6990740740740741	0.6851851851851852	3	58	7
xcomp	195	0.8769230769230769	0.36923076923076925	0.358974358974359	2	101	22
amod	173	0.8034682080924855	0.8323699421965318	0.7976878612716763	6	1	28
expl	169	0.9289940828402367	0.6035502958579881	0.5976331360946746	1	56	11
cop	145	0.7172413793103448	0.8	0.6620689655172414	20	8	21
vocative	129	0.7674418604651163	0.627906976744186	0.5503875968992248	10	28	20
cc	124	0.7983870967741935	0.9838709677419355	0.7983870967741935	23	0	2
nummod	80	0.9375	0.975	0.9375	3	0	2
nmod	79	0.22784810126582278	0.16455696202531644	0.16455696202531644	0	5	61
fixed	70	0.7857142857142857	0.6285714285714286	0.6285714285714286	0	11	15
dislocated	67	0.5373134328358209	0.029850746268656716	0.029850746268656716	0	34	31
discourse	42	0.7857142857142857	0.7142857142857143	0.6428571428571429	3	6	6
appos	41	0.1951219512195122	0.0975609756097561	0.0975609756097561	0	4	33
advcl:relcl	27	0.18518518518518517	0.07407407407407407	0.07407407407407407	0	3	22
acl	25	0.16	0.12	0.08	1	2	20
csubj	23	0.6086956521739131	0.043478260869565216	0.043478260869565216	0	13	9
flat	19	0.47368421052631576	0.3684210526315789	0.3684210526315789	0	2	10
goeswith	18	0.6111111111111112	0.5555555555555556	0.4444444444444444	2	3	5
orphan	4	0.0	0.0	0.0	0	0	4
dep	2	0.5	0.0	0.0	0	1	1
compound	1	1.0	0.0	0.0	0	1	0
reparandum	1	0.0	0.0	0.0	0	0	1
