upos	support	head_accuracy	label_accuracy	las	attachment_only_errors	label_only_errors	both_errors
PUNCT	533	0.8442776735459663	1.0	0.8442776735459663	83	0	0
VERB	468	0.8461538461538461	0.8247863247863247	0.7670940170940171	27	37	45
NOUN	442	0.832579185520362	0.8076923076923077	0.7692307692307693	17	28	57
PRON	345	0.9014492753623189	0.9072463768115943	0.863768115942029	15	13	19
PART	218	0.8899082568807339	0.963302752293578	0.8853211009174312	17	1	7
ADP	165	0.9636363636363636	0.9878787878787879	0.9636363636363636	4	0	2
ADV	139	0.8561151079136691	0.9280575539568345	0.8201438848920863	15	5	5
DET	79	0.8860759493670886	0.9493670886075949	0.8734177215189873	6	1	3
SCONJ	79	0.9113924050632911	1.0	0.9113924050632911	7	0	0
AUX	75	0.9333333333333333	0.96	0.92	3	1	2
ADJ	40	0.75	0.7	0.625	3	5	7
PROPN	26	0.8461538461538461	0.8846153846153846	0.8076923076923077	2	1	2
CCONJ	12	0.8333333333333334	0.9166666666666666	0.8333333333333334	1	0	1
NUM	9	0.8888888888888888	0.8888888888888888	0.8888888888888888	0	0	1
INTJ	5	0.4	0.6	0.4	1	0	2
X	1	1.0	1.0	1.0	0	0	0
