upos	support	head_accuracy	label_accuracy	las	attachment_only_errors	label_only_errors	both_errors
PUNCT	5379	0.8568507157464212	0.9996281836772635	0.8568507157464212	768	0	2
NOUN	4699	0.8518833794424345	0.8144286018301766	0.7791019365822516	166	342	530
VERB	4424	0.8664104882459313	0.847875226039783	0.8051537070524413	189	271	402
PRON	3507	0.9133162246934702	0.8614200171086399	0.8343313373253493	95	277	209
PART	2127	0.9003291020216267	0.9807240244475788	0.8951574988246357	182	11	30
ADP	1836	0.9727668845315904	0.985838779956427	0.9662309368191722	36	12	14
ADV	1518	0.8768115942028986	0.9400527009222661	0.8537549407114624	131	35	56
DET	835	0.9209580838323354	0.9736526946107784	0.9125748502994012	51	7	15
AUX	734	0.9250681198910081	0.9509536784741145	0.9114441416893733	29	10	26
SCONJ	606	0.933993399339934	1.0	0.933993399339934	40	0	0
ADJ	497	0.7967806841046278	0.772635814889336	0.744466800804829	14	26	87
PROPN	311	0.8520900321543409	0.819935691318328	0.7877813504823151	10	20	36
CCONJ	126	0.7857142857142857	0.9682539682539683	0.7857142857142857	23	0	4
NUM	95	0.8947368421052632	0.9052631578947369	0.8631578947368421	4	3	6
INTJ	72	0.6944444444444444	0.7222222222222222	0.5833333333333334	10	8	12
X	19	0.631578947368421	0.5263157894736842	0.42105263157894735	2	4	5
