label	tp	gold_support	pred_support	precision	recall	f1
punct	533	533	534	0.99812734082397	1.0	0.9990627928772258
advmod	327	332	340	0.961764705882353	0.9849397590361446	0.9732142857142858
root	257	283	283	0.9081272084805654	0.9081272084805654	0.9081272084805654
nsubj	226	259	265	0.8528301886792453	0.8725868725868726	0.8625954198473282
obj	148	170	189	0.783068783068783	0.8705882352941177	0.8245125348189415
case	161	162	162	0.9938271604938271	0.9938271604938271	0.9938271604938271
nmod:poss	138	148	148	0.9324324324324325	0.9324324324324325	0.9324324324324325
obl	119	128	134	0.8880597014925373	0.9296875	0.9083969465648856
mark	79	79	80	0.9875	1.0	0.9937106918238994
parataxis	59	75	101	0.5841584158415841	0.7866666666666666	0.6704545454545454
det	71	71	74	0.9594594594594594	1.0	0.9793103448275862
advcl	54	70	66	0.8181818181818182	0.7714285714285715	0.7941176470588236
aux	63	64	65	0.9692307692307692	0.984375	0.9767441860465116
ccomp	21	47	37	0.5675675675675675	0.44680851063829785	0.5
acl:relcl	25	33	26	0.9615384615384616	0.7575757575757576	0.8474576271186441
xcomp	11	28	17	0.6470588235294118	0.39285714285714285	0.4888888888888888
conj	14	25	18	0.7777777777777778	0.56	0.6511627906976745
iobj	19	24	20	0.95	0.7916666666666666	0.8636363636363635
amod	15	19	17	0.8823529411764706	0.7894736842105263	0.8333333333333333
vocative	8	15	9	0.8888888888888888	0.5333333333333333	0.6666666666666667
cc	11	11	11	1.0	1.0	1.0
cop	9	11	10	0.9	0.8181818181818182	0.8571428571428572
expl	8	10	10	0.8	0.8	0.8000000000000002
nmod	1	9	1	1.0	0.1111111111111111	0.19999999999999998
nummod	7	8	7	1.0	0.875	0.9333333333333333
fixed	5	6	7	0.7142857142857143	0.8333333333333334	0.7692307692307692
acl	0	3	0	0.0	0.0	0.0
advcl:relcl	0	3	0	0.0	0.0	0.0
appos	0	3	1	0.0	0.0	0.0
dislocated	0	3	0	0.0	0.0	0.0
goeswith	1	1	1	1.0	1.0	1.0
discourse	1	1	3	0.3333333333333333	1.0	0.5
csubj	0	1	0	0.0	0.0	0.0
reparandum	0	1	0	0.0	0.0	0.0
