label	tp	gold_support	pred_support	precision	recall	f1
punct	5377	5378	5380	0.9994423791821562	0.9998140572703608	0.9996281836772635
advmod	3336	3361	3442	0.969203951191168	0.9925617375781017	0.9807437895046303
root	2599	2834	2834	0.9170783345095271	0.9170783345095271	0.9170783345095271
nsubj	2324	2657	2824	0.8229461756373938	0.8746706812194204	0.8480204342273309
case	1764	1769	1784	0.9887892376681614	0.9971735443753533	0.9929636926540952
obj	1349	1586	1720	0.7843023255813953	0.8505674653215637	0.8160919540229885
nmod:poss	1463	1539	1620	0.9030864197530865	0.9506172839506173	0.9262424817980375
obl	1381	1534	1552	0.8898195876288659	0.9002607561929595	0.8950097213220998
parataxis	706	857	1050	0.6723809523809524	0.823803967327888	0.7404299947561614
det	801	823	818	0.9792176039119804	0.9732685297691372	0.9762340036563071
mark	607	615	608	0.9983552631578947	0.9869918699186991	0.9926410466067048
aux	581	586	615	0.9447154471544715	0.9914675767918089	0.9675270607826812
advcl	424	579	497	0.8531187122736419	0.7322970639032815	0.788104089219331
ccomp	253	422	380	0.6657894736842105	0.5995260663507109	0.6309226932668329
acl:relcl	251	343	296	0.847972972972973	0.7317784256559767	0.7856025039123631
conj	127	252	180	0.7055555555555556	0.503968253968254	0.5879629629629629
iobj	151	216	187	0.8074866310160428	0.6990740740740741	0.7493796526054591
xcomp	72	195	142	0.5070422535211268	0.36923076923076925	0.42729970326409494
amod	144	173	165	0.8727272727272727	0.8323699421965318	0.8520710059171598
expl	102	169	127	0.8031496062992126	0.6035502958579881	0.6891891891891891
cop	116	145	121	0.9586776859504132	0.8	0.8721804511278195
vocative	81	129	97	0.8350515463917526	0.627906976744186	0.7168141592920355
cc	122	124	123	0.991869918699187	0.9838709677419355	0.9878542510121457
nummod	78	80	83	0.9397590361445783	0.975	0.9570552147239264
nmod	13	79	19	0.6842105263157895	0.16455696202531644	0.26530612244897955
fixed	44	70	50	0.88	0.6285714285714286	0.7333333333333334
dislocated	2	67	3	0.6666666666666666	0.029850746268656716	0.05714285714285715
discourse	30	42	34	0.8823529411764706	0.7142857142857143	0.7894736842105262
appos	4	41	8	0.5	0.0975609756097561	0.163265306122449
advcl:relcl	2	27	3	0.6666666666666666	0.07407407407407407	0.13333333333333333
acl	3	25	4	0.75	0.12	0.20689655172413793
csubj	1	23	2	0.5	0.043478260869565216	0.08
flat	7	19	7	1.0	0.3684210526315789	0.5384615384615384
goeswith	10	18	10	1.0	0.5555555555555556	0.7142857142857143
orphan	0	4	0	0.0	0.0	0.0
dep	0	2	0	0.0	0.0	0.0
compound	0	1	0	0.0	0.0	0.0
reparandum	0	1	0	0.0	0.0	0.0
