tasenũi	senũi+V+3+PL
yayukataka	yukataka+V+1+PL
remusurí	musurí+V+2+SG
reyusí	yusí+V+2+SG
yaikuntu	ikuntu+V+1+PL
sakusawa-itá	sakusawa+N+ABS+PL
taumeẽ	meẽ+V+3+PL
yuwá	yuwá+N+SG
kisé-itá	kisé+N+PL
sakusawa-itá	sakusawa+N+NCONT+PL
aresé	aresé+CONJ
amupuka	mupuka+V+1+SG
umusurí	musurí+V+3
papera-itá	papera+N+PL
yamupawa	mupawa+V+1+PL
pepawa	pawa+V+2+PL
uyumuperewa	yumuperewa+V+3
tayumana	yumana+V+3+PL
mairí-itá	mairí+N+PL
kaxiwera	kaxiwera+N+SG
peyaxiú	yaxiú+V+2+PL
ií-itá	ií+N+PL
taukaú	kaú+V+3+PL
usuantí	suantí+V+3
xinga	xinga+QUANT
tamupipika	mupipika+V+3+PL
maniaka-itá	maniaka+N+PL
murasí	murasí+N+SG
marandua	marandua+N+SG
umuyaxiú	muyaxiú+V+3
supisawa	supisawa+N+SG
surí	rurí+A2+NCONT
pemungitá	mungitá+V+2+PL
-tiwa	-tiwa+SUFF
ayumbué	yumbué+V+1+SG
igarapé-itá	igarapé+N+PL
sikiesawa-itá	sikiesawa+N+PL
kawĩ-itá	kawĩ+N+PL
amurari	murari+V+1+SG
yawiyé	wiyé+V+1+PL
uyupirú	yupirú+V+3
saanga-itá	saanga+N+NCONT+PL
sapé	pé+N+NCONT+SG
rawa	sawa+N+CONT+SG
yapurá-itá	yapurá+N+PL
pesikari	sikari+V+2+PL
pesasá	sasá+V+2+PL
sukwera	sukwera+N+NCONT+SG
taupiruka	piruka+V+3+PL
yumasí	yumasí+A2
peikú	ikú+V+2+PL
resayukisé	sesayukisé+N+CONT+SG
yerimũ	yerimũ+N+SG
taupituú	pituú+V+3+PL
amutiní	mutiní+V+1+SG
yepeawa	yepeawa+N+SG
ramunha-itá	tamunha+N+CONT+PL
aiwã	aiwã+V
sesá	sesá+N+NCONT+SG
ne mairamé	ne mairamé+ADV
apisirũ	pisirũ+V+1+SG
mukũipusawa	mukũipusawa+NUM
usuaxara	suaxara+V+3
ayupukwari	yupukwari+V+1+SG
ararapewa-itá	ararapewa+N+PL
usuú	suú+V+3
tauyukwáu	yukwáu+V+3+PL
Paranãwasú-itá	Paranãwasú+N+PL
pemendari	mendari+V+2+PL
rewatá	watá+V+2+SG
sukena-itá	ukena+N+NCONT+PL
rewewé	wewé+V+2+SG
yanomami	yanomami+N+SG
tasasemu	sasemu+V+3+PL
tauikupukú	ikupukú+V+3+PL
remutianha	mutianha+V+2+SG
tausepiasumeẽ	sepiasumeẽ+V+3+PL
ayumuruakí	yumuruakí+V+1+SG
sekuyaramirĩ	sekuyaramirĩ+N+ABS+SG
pepinaitika	pinaitika+V+2+PL
tauyumunhã	yumunhã+V+3+PL
pesaã	saã+V+2+PL
tawitá	witá+V+3+PL
pinimatawa-itá	pinimatawa+N+PL
awatí-itá	awatí+N+PL
surisawa-itá	surisawa+N+ABS+PL
yayatiká	yatiká+V+1+PL
taumemũi	memũi+V+3+PL
yupirisawa	yupirisawa+N+SG
merupí	merupí+ADV
xukúi	xukúi+V
kumandamirĩ-itá	kumandamirĩ+N+PL
peyana	yana+V+2+PL
rerasú	rasú+V+2+SG
tamukwekatú	mukwekatú+V+3+PL
tawari	wari+V+3+PL
ruakiwara	ruakiwara+A+CONT
rembiwa-itá	tembiwa+N+CONT+PL
akayú-itá	akayú+N+PL
pemundú	mundú+V+2+PL
aikupukú	ikupukú+V+1+SG
saínha	taínha+N+NCONT+SG
witú	witú+N+SG
ayumimi	yumimi+V+1+SG
kunhã	kunhã+N+SG
pururé-itá	pururé+N+PL
tausuantí	suantí+V+3+PL
taumundeka	mundeka+V+3+PL
katusawa-itá	katusawa+N+PL
suakí	ruakí+ADP+NCONT
kerpi	kerpi+V2
pirá-itá	pirá+N+PL
upuíri	puíri+V+3
tauwatá-watá	watá-watá+V+3+PL
reyuri	yuri+V+2+SG
arasá-itá	arasá+N+PL
nambí	nambí+N+SG
ikewara	ikewara+A
uyumuatiri	yumuatiri+V+3
tasikari	sikari+V+3+PL
suaxara-itá	suaxara+N+ABS+PL
kuxiíma	kuxiíma+ADV
taururi	ruri+V+3+PL
simirikú-putawa	simirikú-putawa+N+ABS+SG
rukena	ukena+N+CONT+SG
mairamé	mairamé+CONJ
taumusurí	musurí+V+3+PL
senundé	renundé+ADP+NCONT
uyuíri	yuíri+V+3
peikuntu	ikuntu+V+2+PL
usuú-suú	suú-suú+V+3
tamusarái	musarái+V+3+PL
taupuú	puú+V+3+PL
urasú	rasú+V+3
rumuara	sumuara+N+CONT+SG
uyupiri	yupiri+V+3
tameẽ	meẽ+V+3+PL
taumundú	mundú+V+3+PL
yamusarái	musarái+V+1+PL
tukano	tukano+N+SG
yapuri	puri+V+1+PL
taumupaka	mupaka+V+3+PL
uyawáu	yawáu+V+3
nheengarisara	nheengarisara+N+SG
yayusikié	yusikié+V+1+PL
remundéu	mundéu+V+2+SG
siputí	tiputí+N+NCONT+SG
tukanu-itá	tukanu+N+PL
