akanga	akanga+N+SG
akanga-itá	akanga+N+PL
akangaiwasawa	akangaiwasawa+N+SG
akangaiwasawa-itá	akangaiwasawa+N+PL
akangatara	akangatara+N+SG
akangatara-itá	akangatara+N+PL
akarí	akarí+N+SG
akarí-itá	akarí+N+PL
akayú	akayú+N+SG
akayú-itá	akayú+N+PL
akayú	akayú+N+SG
akayú-itá	akayú+N+PL
akayutiwa	akayutiwa+N+SG
akayutiwa-itá	akayutiwa+N+PL
amana	amana+N+SG
amana-itá	amana+N+PL
amanawasú	amanawasú+N+SG
amanawasú-itá	amanawasú+N+PL
amaniú	amaniú+N+SG
amaniú-itá	amaniú+N+PL
amũ	amũ+N+SG
amũ-itá	amũ+N+PL
anama	anama+N+SG
anama-itá	anama+N+PL
anga	anga+N+SG
anga-itá	anga+N+PL
apigawa	apigawa+N+SG
apigawa-itá	apigawa+N+PL
ara	ara+N+SG
ara-itá	ara+N+PL
ara	ara+N+SG
ara-itá	ara+N+PL
ara	ara+N+SG
ara-itá	ara+N+PL
arara	arara+N+SG
arara-itá	arara+N+PL
ararapewa	ararapewa+N+SG
ararapewa-itá	ararapewa+N+PL
arasá	arasá+N+SG
arasá-itá	arasá+N+PL
arawara	arawara+N+SG
arawara-itá	arawara+N+PL
aria	aria+N+SG
aria-itá	aria+N+PL
awa	awa+N+SG
awa-itá	awa+N+PL
awatí	awatí+N+SG
awatí-itá	awatí+N+PL
baniwa	baniwa+N+SG
baniwa-itá	baniwa+N+PL
buya	buya+N+SG
buya-itá	buya+N+PL
darapí	darapí+N+SG
darapí-itá	darapí+N+PL
desana	desana+N+SG
desana-itá	desana+N+PL
gantĩ	gantĩ+N+SG
gantĩ-itá	gantĩ+N+PL
garapá	garapá+N+SG
garapá-itá	garapá+N+PL
igara	igara+N+SG
igara-itá	igara+N+PL
igarapé	igarapé+N+SG
igarapé-itá	igarapé+N+PL
igarité	igarité+N+SG
igarité-itá	igarité+N+PL
ií	ií+N+SG
ií-itá	ií+N+PL
ipadú	ipadú+N+SG
ipadú-itá	ipadú+N+PL
íra	íra+N+SG
íra-itá	íra+N+PL
irirú	irirú+N+SG
irirú-itá	irirú+N+PL
itá	itá+N+SG
itá-itá	itá+N+PL
itaité	itaité+N+SG
itaité-itá	itaité+N+PL
íwa	íwa+N+SG
íwa-itá	íwa+N+PL
iwaka	iwaka+N+SG
iwaka-itá	iwaka+N+PL
iwaté	iwaté+N+SG
iwaté-itá	iwaté+N+PL
iwí	iwí+N+SG
iwí-itá	iwí+N+PL
iwí-murutinga	iwí-murutinga+N+SG
iwí-murutinga-itá	iwí-murutinga+N+PL
iwisé	iwisé+N+SG
iwisé-itá	iwisé+N+PL
iwitú	iwitú+N+SG
iwitú-itá	iwitú+N+PL
kaá	kaá+N+SG
kaá-itá	kaá+N+PL
kakurí	kakurí+N+SG
kakurí-itá	kakurí+N+PL
kambí	kambí+N+SG
kambí-itá	kambí+N+PL
kamixá	kamixá+N+SG
kamixá-itá	kamixá+N+PL
kamundusara	kamundusara+N+SG
kamundusara-itá	kamundusara+N+PL
kamutí	kamutí+N+SG
kamutí-itá	kamutí+N+PL
kandirú	kandirú+N+SG
kandirú-itá	kandirú+N+PL
kanhimu	kanhimu+N+SG
kanhimu-itá	kanhimu+N+PL
kará	kará+N+SG
kará-itá	kará+N+PL
kariwa	kariwa+N+SG
kariwa-itá	kariwa+N+PL
karuka	karuka+N+SG
karuka-itá	karuka+N+PL
katusawa	katusawa+N+SG
katusawa-itá	katusawa+N+PL
kawarú	kawarú+N+SG
kawarú-itá	kawarú+N+PL
kawera	kawera+N+SG
kawera-itá	kawera+N+PL
kawĩ	kawĩ+N+SG
kawĩ-itá	kawĩ+N+PL
kawoka	kawoka+N+SG
kawoka-itá	kawoka+N+PL
